id_centro_vacunacion,id_ubigeo,nombre,latitud,longitud,entidad_administra
2904,126,ACOPAMPA,-9.290608554,-77.628010063,MINSA
3205,257,Campo Ferial de Accopampa - Puesto de salud Accopampa,-13.781258525,-72.940865275,
2437,257,LOZA DEPORTIVA AUQUIBAMBA,-13.679592998,-72.953188387,MINSA
2438,257,LOZA DEPORTIVA PICHIRHUA,-13.860177487,-73.073030766,MINSA
2439,257,I. E. P. Nº 54035 DIVINO NIÑO JESUS COTARMA,-13.783693484,-72.982067937,MINSA
2441,257,PLAZA DE ARMAS CHALHUANI,-13.823885579,-73.042594521,MINSA
2442,257,I. E. LUCUCHANGA,-13.75086441,-72.970687637,MINSA
2345,258,Loza Municipal de Cachora  C.S. Cachora,-13.512307967,-72.810114208,
2100,271,I.E. JUAN PABLO VIZCARDO Y GUZMAN,-13.773,-73.6023,DIRESA
2383,332,I.E PRIMARIA SAGRADO CORAZON DE JESUS - VILCABAMBA,-14.075565684,-72.624848916,
2628,355,ESTADIO MUNICIPAL SANTA RITA DE SIGUAS,-16.4885169,-72.0938411,DIRESA
1634,355,P.S. Santa Rita De Siguas,-16.488516867,-72.093841069,
604,362,Plaza Centro Civico De La Municipalidad De Yura,-16.3021963,-71.62349139,ESSALUD
1901,373,I.E. NICOLAS DE PIEROLA,-15.43919,-74.61732,
2331,654,INSTITUCION EDUCATIVA SANTA ROSA N° 16537,-5.2917966,-79.1594961,DIRESA
2340,654,INSTITUCION EDUCATIVA VIRGENGEN DE LAS MERCEDES N° 16538,-5.3479978,-79.1143945,DIRESA
2151,818,PUESTO DE SALUD MANTA,-12.638393,-75.1778853,
2231,818, TAMBO DE CCORISOTO,-12.598747,-75.1759917,DIRESA
2232,818,PUESTO DE SALUD MANTA,-12.6203581,-75.2110277,DIRESA
2260,823,P.S PILCHACA,-12.401193,-75.0838369,DIRESA
1750,941,P.S. Cochabamba,-9.09539,-76.83772,
506,1060,Estadio Luis Abad,-12.14369393,-75.16091264,MINSA
234,1168,Teatro Salaverry,-8.22298606,-78.974,DIRESA
1843,1275,Institución Educativa-Cruz de Chalpón-Motupe,-6.154227896,-79.711493954,
19,1310,ESSALUD San Borja,-12.109031,-77.006364,ESSALUD
34,1315,Gran Unidad Escolar Jose Granda,-12.02699646,-77.07476051,MINSA
3360,1315,"Instituto Nacional de Salud Mental ""Honorio Delgado - Hideyo Noguchi""",-12.0205996,-77.0562402,MINSA
251,1315,Parque Zonal Mayta Capac,-12.009103172,-77.086598718,MINSA
16,1323,Complejo Deportivo VMT,-12.14874495,-76.95263882,MINSA
679,1323,Polideportivo César Vallejo - Nueva Esperanza,-12.17812928,-76.94161842,MINSA
937,1691,I.E.P. Simon Bolivar Palacios 871,-15.3634,-70.3636,MINSA
1657,1708,I.E.P. Nª 70502 GENERAL PEDRO VILCAPAZA,-14.59434132,-70.852842094,
2036,1708,C.S. SANTA ROSA 00003184,-14.608295406,-70.79148686,
2037,1708,COLISEO MUNICIPAL SANTA ROSA - MELGAR,-14.612305417,-70.787342847,
2702,101,PLAZA DE ARMAS DE LLANQUISH,-9.817365,-77.6744675,MINSA
2704,101,PLAZA DE ARMAS DE SUCCHA,-9.8232362,-77.6500472,MINSA
2351,318,LOZA GRASS SINTETICO DE ROCCHACC.,-13.4406997,-73.6004766,
2352,318,I.E.P. SANTA ROSA,-13.439997,-73.5964111,
899,419,"Estadio ""los Estudiantes"" De Chuquibamba",-15.8405,-72.6526,
133,532,I.E Felipe Guaman Poma De Ayala,-14.00814,-73.84390667,DIRESA
2317,673,"Institución Educativa ""Alberto Turpaud"" - Tongod",-6.7510485,-78.8272322,DIRESA
3068,798,MARCAPATA,-13.5915067,-70.9749309,
2687,903,CENTRO DE SALUD TINTAY PUNCO,-12.1516403,-74.544532,DIRESA
3651,1401,COMPLEJO HUAROCHIRANO,-11.8838262,-76.4403,DIRESA LIMA
4084,1401,FRONTIS DEL CS SURCO,-11.8848736,-76.4402941,
2021,1704,C.S. LLALLI 00003164,-14.951101308,-70.881177917,
154,1747,I.E. 0180,-7.0619828,-76.58990394,MINSA
155,1747,I.E. 0482 Ciro Saldaña,-7.0516719,-76.59433619,DIRESA
3699,1747,I.E. 0766 Ruben Cachique Sangama - Comunidad Nativa Las Mercedes,-6.92204,-76.63475,
3260,1782,I.E.I. N° 0769 - CASPIZAPA,-6.9549661,-76.4206947,
3888,199,LOZA DEPORTIVA CABANA,-8.393295901,-78.009078262,
3952,199,LOZA DEPORTIVA SANTA ROSA,-8.364006338,-78.004029003,
3594,303,C.S. Chalhuanca,-14.248576107,-73.206660254,
1684,306,ESTADIO MUNICIPAL DE COYLLURQUI,-13.836530621,-72.432280164,
2515,333,PLAZA DE ARMAS VIRUNDO - GRAU,-14.245598403,-72.680383291,MINSA
1923,407,ESTADIO  DE ICHUPAMPA,-15.650499,-71.686724,DIRESA
684,418,Colegio Almirante Miguel Grau,-16.35885611,-72.18918668,ESSALUD
685,418,Colegio San Antonio,-16.35549481,-72.18730324,ESSALUD
686,418,Colegio San Juan Bautista,-16.37601597,-72.19876137,ESSALUD
687,418,I.E. Tecnico Agropecuario De La Colina,-16.34386114,-72.17776743,ESSALUD
2851,625,SAN ANDRES DE CUTERVO,-6.2330924,-78.7362845,
2595,680,Institución educativa primaria andabamba 10636,-6.6628356,-78.817248,
527,738,I.E. Almirante Miguel Grau Checacupe,-14.027808,-71.45365,MINSA
3129,774,KIRIGUETI,-11.5767853,-73.1279059,DIRESA
3130,774,KAMISEA,-11.719484,-72.9453184,MINSA
2543,862,P.S. CUYOCC,-12.6965734,-74.5330374,
2533,862,P.S. SAN MIGUEL DE ARMA,-12.6339399,-74.5350751,
2537,862,P.S. SAN MIGUEL DE MAYOCC,-12.6449141,-74.5652306,
855,1193,I.E. Jose Maria Arguedas - AGALLPAMPA,-7.98106,-78.54479,
3860,1225,Losa gras sintético -SANAGORAN,-7.786222,-78.141853,MINSA
55,1306,Puesto de Salud Punta Hermosa,-12.33750237,-76.82598365,MINSA
